71028,Hala Rifaï|Samer Mohammed|Walid Hassani|Weiguang Huo|Yacine Amirat,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_15,,,series/star/MohammedHRHA15,2017-05-16,,,385-400,,,,,,Robust Control of an Actuated Orthosis for Lower Limb Movement Restoration.,db/series/star/star106.html#MohammedHRHA15,2015,,,,
71030,Barbara Deml|Bernhard Kübler|Detlef Reintsema|Georg Passig|Tobias Ortmaier|Ulrich Seibold,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_22,,,series/star/OrtmaierDKPRS07,2017-05-16,,,361-379,,,,,,Robot Assisted Force Feedback Surgery.,db/series/star/star31.html#OrtmaierDKPRS07,2007,,,,
71031,Joonbum Bae|Kyoungchul Kong|Masayoshi Tomizuka,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_16,,,series/star/KongBT15,2017-05-16,,,401-429,,,,,,Mechatronic Considerations for Actuation of Human Assistive Wearable Robotics: Robust Control of a Series Elastic Actuator.,db/series/star/star106.html#KongBT15,2015,,,,
71032,Gisbert Lawitzky,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_13,,,series/star/Lawitzky12,2017-05-16,,,165-166,,,,,,Editorial.,db/series/star/star76.html#Lawitzky12,2012,,,,
71033,Calogero Maria Oddo|Fabrizio Vecchi|Lucia Beccai|Maria Chiara Carrozza|Nicola Vitiello|Paolo Dario|Stefano Roccella|Tommaso Lenzi,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_1,,,series/star/VitielloOLRBVCD15,2017-05-16,,,1-40,,,,,,Neuro-robotics Paradigm for Intelligent Assistive Technologies.,db/series/star/star106.html#VitielloOLRBVCD15,2015,,,,
71034,Kazuo Kiguchi|Yoshiaki Hayashi,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_14,,,series/star/KiguchiH15,2017-05-16,,,371-383,,,,,,EMG-Based Control of a Lower-Limb Power-Assist Robot.,db/series/star/star106.html#KiguchiH15,2015,,,,
71037,Annika Raatz|Christoph Budde|Daniel Schütz|Jürgen Hesselbach,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_7,,,series/star/SchutzBRH11,2017-05-16,,,109-124,,,,,,Parallel Kinematic Structures of the SFB 562.,db/series/star/star67.html#SchutzBRH11,2011,,,,
71038,Martin Hägele|Paul-Gerhard Plöger,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_2,,,series/star/HageleP12,2017-05-16,,,9-10,,,,,,Editorial.,db/series/star/star76.html#HageleP12,2012,,,,
71039,Hasan Esen|Ken'ichi Yano|Martin Buss,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_12,,,series/star/EsenYB08,2019-03-13,,,245-278,,,,,,Bone Drilling Medical Training System.,db/series/star/star45.html#EsenYB08,2008,,,,
71040,Jian Huang 0001|Kosuke Sekiyama|Pei Di|Toshio Fukuda,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_12,,,series/star/FukudaHDS15,2018-02-26,,,317-337,,,,,,Motion Control and Fall Detection of Intelligent Cane Robot.,db/series/star/star106.html#FukudaHDS15,2015,,,,
71041,Ayumi Shinohara|Diptarama Hendrian|Eri Nakahara|Hiroaki Naganuma|Hiroyuki Nishinoma|Kaizaburo Chubachi|Katsuhito Nakashima|Kazunori Ohno|Kazushi Ikeda|Kimitoshi Yamazaki|Miho Nagasawa|Ryo Yoshinaka|Ryu Wakimoto|Ryunosuke Hamada|Satoko Matsubara|Satoshi Kobayashi|Satoshi Tadokoro|Shu Ishikawa|Shumpei Yamaguchi|Solvi Arnold|Takatomi Kubo|Takefumi Kikusui|Takeshi Tokuyama|Tatsuki Miura|Tatsuya Hoshi|Toshitaka Yamakawa|Yuki Maruno,,Disaster Robotics,,,,,series/star/128,https://doi.org/10.1007/978-3-030-05321-5_4,,,series/star/OhnoHHNYAYKMNKNMIYTSYHCKNNWIMT19,2019-01-25,,,143-193,,,,,,Cyber-Enhanced Rescue Canine.,db/series/star/star128.html#OhnoHHNYAYKMNKNMIYTSYHCKNNWIMT19,2019,,,,
71042,Aaron M. Dollar,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_10,,,series/star/Dollar14,2017-05-16,,,201-216,,,,,,Classifying Human Hand Use and the Activities of Daily Living.,db/series/star/star95.html#Dollar14,2014,,,,
71043,Josep Fernández|Pedro J. Sanz|Raúl Marín|Raúl Wirz,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_26,,,series/star/MarinWSF07,2017-05-16,,,429-444,,,,,,Internet-Based Tele-Laboratory: Remote Experiments Using the SNRP Distributed Network Architecture.,db/series/star/star31.html#MarinWSF07,2007,,,,
71044,Cesare Fantuzzi|Cristian Secchi|Stefano Stramigioli,0000-0002-2098-0099|0000-0002-8885-7951,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_15,,,series/star/SecchiSF07,2017-06-09,,,233-256,,,,,,Power Scaling in Port-Hamiltonian Telemanipulation over Packet Switched Networks.,db/series/star/star31.html#SecchiSF07,2007,,,,
71045,Friedrich M. Wahl|Ulrike Thomas,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_19,,,series/star/ThomasW11a,2017-05-16,,,333-354,,,,,,Assembly Planning and Task Planning - Two Prerequisites for Automated Robot Programming.,db/series/star/star67.html#ThomasW11a,2011,,,,
71046,Kin Huat Low,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_2,,,series/star/Low15,2017-05-16,,,41-75,,,,,,Recent Development and Trends of Clinical-Based Gait Rehabilitation Robots.,db/series/star/star106.html#Low15,2015,,,,
71047,Erwin Prassler,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_1,,,series/star/Prassler12,2017-05-16,,,3-6,,,,,,Editorial.,db/series/star/star76.html#Prassler12,2012,,,,
71048,Johann Marius Zöllner|Rüdiger Dillmann|Steffen W. Rühl|Zhixing Xue,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_26,,,series/star/XueRZD12,2017-05-16,,,391-402,,,,,,An Automatic Grasp Planning System for Multi-fingered Robotic Hands.,db/series/star/star76.html#XueRZD12,2012,,,,
71051,Gerald E. Loeb|Jeremy A. Fishel|Nicholas Wettels,0000-0002-6753-634X,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_19,,,series/star/WettelsFL14,2018-11-02,,,405-429,,,,,,Multimodal Tactile Sensor.,db/series/star/star95.html#WettelsFL14,2014,,,,
71053,Marc H. Schieber,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_1,,,series/star/Schieber14,2017-05-16,,,3-21,,,,,,Constraints and Flexibility in Cortical Control of the Hand.,db/series/star/star95.html#Schieber14,2014,,,,
71055,Helge J. Ritter|Matthias Schöpfer|Robert Haschke,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_29,,,series/star/HaschkeSR12,2017-05-16,,,431-440,,,,,,Grasping Objects of Unknown Geometry with Tactile Feedback.,db/series/star/star76.html#HaschkeSR12,2012,,,,
71056,Martin Lösch|Rainer Jäkel|Rüdiger Dillmann|Steffen W. Rühl|Sven R. Schmidt-Rohr|Zhixing Xue,,Advanced Bimanual Manipulation,,,,,series/star/2012-80,https://doi.org/10.1007/978-3-642-29041-1_1,,,series/star/JakelRSLXD12,2017-05-16,,,1-57,,,,,,Layered Programming by Demonstration and Planning for Autonomous Robot Manipulation.,db/series/star/star80.html#JakelRSLXD12,2012,,,,
71057,Gábor Székely|Marc O. Ernst|Matthias Harders|Peter Leskovský|Theresa Cooke,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_11,,,series/star/HardersLCES08,2019-03-14,,,225-244,,,,,,Design and Evaluation of Haptic Soft Tissue Interaction.,db/series/star/star45.html#HardersLCES08,2008,,,,
71058,Georg von Wichert|Gisbert Lawitzky|Martin Schneider|Michael Fiegert|Robert Eidenberger|Thilo Grundmann|Wendelin Feiten,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_15,,,series/star/EidenbergerGSFFWL12,2017-05-16,,,181-213,,,,,,Scene Analysis for Service Robots.,db/series/star/star76.html#EidenbergerGSFFWL12,2012,,,,
71059,Antonio Bicchi|Enzo Pasquale Scilingo|Nicola Sgambelluri,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_4,,,series/star/ScilingoSB08,2019-03-13,,,39-60,,,,,,The Role of Tactile Flow in Processing Dynamic Haptic Stimuli.,db/series/star/star45.html#ScilingoSB08,2008,,,,
71060,Michael Fiegert|Thilo Grundmann|Wolfram Burgard,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_20,,,series/star/GrundmannFB12,2017-05-16,,,301-326,,,,,,Rule Set Based Joint State Update.,db/series/star/star76.html#GrundmannFB12,2012,,,,
71061,Fumitoshi Matsuno|Hiroshi G. Okuno|Katsutoshi Itoyama|Kenjiro Tadakuma|Masahiro Fujita|Mizuki Nakajima|Motoyasu Tanaka|Satoshi Tadokoro|Tatsuya Takemori|Tetsushi Kamegawa|Tomofumi Fujiwara|Wei Qi|Yoshiaki Bando|Yosuke Suzuki,,Disaster Robotics,,,,,series/star/128,https://doi.org/10.1007/978-3-030-05321-5_6,,,series/star/MatsunoKQTTNTFSIOBFT19,2019-01-25,,,267-326,,,,,,Development of Tough Snake Robot Systems.,db/series/star/star128.html#MatsunoKQTTNTFSIOBFT19,2019,,,,
71062,Boris Lau|Daniel Meyer-Delius|Kai Oliver Arras|Matthias Luber|Slawomir Grzonka|Wolfram Burgard|Óscar Martínez Mozos,0000-0002-3908-4921,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_18,,,series/star/ArrasLGLMMB12,2017-06-14,,,235-280,,,,,,Range-Based People Detection and Tracking for Socially Enabled Service Robots.,db/series/star/star76.html#ArrasLGLMMB12,2012,,,,
71064,Marco Santello,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_2,,,series/star/Santello14,2017-05-16,,,23-48,,,,,,Synergistic Control of Hand Muscles Through Common Neural Input.,db/series/star/star95.html#Santello14,2014,,,,
71066,Hanspeter A. Mallot|Matthias O. Franz|Wolfgang Hübner 0003|Wolfgang Stürzl,,Robotics and Cognitive Approaches to Spatial Mapping,,,,,series/star/2008-38,https://doi.org/10.1007/978-3-540-75388-9_18,,,series/star/FranzSHM08,2019-03-29,,,297-314,,,,,,A Robot System for Biomimetic Navigation - From Snapshots to Metric Embeddings of View Graphs.,db/series/star/star38.html#FranzSHM08,2008,,,,
71068,Carsten Stechert|Hans-Joachim Franke|Thomas Vietor,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_4,,,series/star/StechertFV11,2017-05-16,,,59-75,,,,,,Knowledge-Based Design Principles and Tools for Parallel Robots.,db/series/star/star67.html#StechertFV11,2011,,,,
71069,Erwin Prassler|Ulrich Reiser|Walter Nowak,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_36,,,series/star/NowakRP12,2017-05-16,,,507-516,,,,,,Robot Development Process in the DESIRE Project.,db/series/star/star76.html#NowakRP12,2012,,,,
71070,Jens Steiner|Karsten Diethers|Matthias Hagner|Ursula Goltz,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_21,,,series/star/SteinerDHG11,2017-05-16,,,373-389,,,,,,Model Based Quality Assurance for a Robotic Software Architecture.,db/series/star/star67.html#SteinerDHG11,2011,,,,
71071,Frank Wobbe|Michael Kolbus|Thomas Reisinger|Walter Schumacher,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_14,,,series/star/KolbusWRS11,2017-05-16,,,233-252,,,,,,Integrated Force and Motion Control of Parallel Robots - Part 1: Unconstrained Space.,db/series/star/star67.html#KolbusWRS11,2011,,,,
71072,Pericle Salvini,0000-0001-9602-6085,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_17,,,series/star/Salvini15,2018-11-02,,,431-445,,,,,,On Ethical, Legal and Social Issues of Care Robots.,db/series/star/star106.html#Salvini15,,,,
71073,Adolfo Rodriguez|Emmanuel Nuño|Luis Basañez,0000-0003-2058-4579,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_27,,,series/star/NunoRB07,2017-06-09,,,445-458,,,,,,Force Reflecting Teleoperation Via IPv6 Protocol with Geometric Constraints Haptic Guidance.,db/series/star/star31.html#NunoRB07,2007,,,,
71074,Barry McCullagh|Christophe Rabaud|David Eadie|Fergal Shevlin|Manuel Navas-Herreros,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_7,,,series/star/ShevlinMENR07,2017-05-16,,,91-105,,,,,,Stereoscopic 3-D Acquisition, Processing, and Display for Telerobotic Applications.,,,,
71075,Mahdi Tavakoli,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_9,,,series/star/Tavakoli14,2017-05-16,,,189-200,,,,,,Hand Haptic Perception.,db/series/star/star95.html#Tavakoli14,2014,,,,
71076,Sebastian Thrun,,Robotics and Cognitive Approaches to Spatial Mapping,,,,,series/star/2008-38,https://doi.org/10.1007/978-3-540-75388-9_3,,,series/star/Thrun08,2017-05-16,,,13-41,,,,,,Simultaneous Localization and Mapping.,db/series/star/star38.html#Thrun08,2008,,,,
71077,Derek G. Kamper|Sang Wook Lee,0000-0002-9732-0427,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_4,,,series/star/LeeK14,2017-09-16,,,77-97,,,,,,Transmission of Musculotendon Forces to the Index Finger.,db/series/star/star95.html#LeeK14,2014,,,,
71078,Bernhard Nebel|Christoph Mies|Kai Pervölz|Michael Brenner 0001|Patrick Eyerich|Paul-Gerhard Plöger,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_4,,,series/star/PlogerPMEBN12,2018-05-30,,,19-42,,,,,,Component Based Architecture for an Intelligent Mobile Manipulator.,db/series/star/star76.html#PlogerPMEBN12,2012,,,,
71080,Shingo Shimoda,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_8,,,series/star/Shimoda15,2017-05-16,,,213-234,,,,,,Tacit Learning - Machine Learning Paradigm Based on the Principles of Biological Learning.,db/series/star/star106.html#Shimoda15,2015,,,,
71082,David Inkermann|Hans-Joachim Franke|Nenad Pavlovic|Robert Otremba|Thomas Vietor,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_24,,,series/star/PavlovicOIFV11,2017-05-16,,,429-444,,,,,,Passive and Adaptive Joints for Parallel Robots.,db/series/star/star67.html#PavlovicOIFV11,2011,,,,
71083,Antonio Frisoli|Carlo Alberto Avizzano|Massimo Bergamasco,0000-0001-5802-541X|0000-0002-7418-2332,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_5,,,series/star/BergamascoFA07,2018-11-02,,,61-76,,,,,,Exoskeletons as Man-Machine Interface Systems for Teleoperation and Interaction in Virtual Environments.,db/series/star/star31.html#BergamascoFA07,2007,,,,
71084,Andrés Úbeda|Eduardo Iáñez|Enrique Hortal|José Maria Azorín,0000-0003-2119-4169,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_3,,,series/star/HortalUIA15,2017-09-16,,,77-102,,,,,,Brain-Machine Interfaces for Assistive Robotics.,db/series/star/star106.html#HortalUIA15,2015,,,,
71085,Verena Vanessa Hafner,,Robotics and Cognitive Approaches to Spatial Mapping,,,,,series/star/2008-38,https://doi.org/10.1007/978-3-540-75388-9_19,,,series/star/Hafner08,2017-05-16,,,315-324,,,,,,Robots as Tools for Modelling Navigation Skills - A Neural Cognitive Map Approach.,db/series/star/star38.html#Hafner08,2008,,,,
71087,Michael Rose,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_22,,,series/star/Rose11a,2017-05-16,,,393-411,,,,,,Modelling of Piezoceramic Patches for Augmenting Modal Structural Models with Flat Actuator Devices.,db/series/star/star67.html#Rose11a,2011,,,,
71088,Jong-Hwan Kim 0001|Sheir Afgen Zaheer|Si-Jung Ryu,,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_10,,,series/star/KimZR15,2018-05-10,,,275-295,,,,,,Intelligence Technology for Ubiquitous Robots.,db/series/star/star106.html#KimZR15,2015,,,,
71089,Dinesh K. Pai|Shinjiro Sueda,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_13,,,series/star/SuedaP14,2017-05-16,,,267-288,,,,,,Dynamic Simulation of the Hand.,db/series/star/star95.html#SuedaP14,2014,,,,
71090,Sehoon Oh|Yoichi Hori,0000-0003-0838-163X,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_13,,,series/star/OhH15,2018-11-02,,,339-369,,,,,,Human-Friendly Motion Control of Power-Assisted Wheelchair.,db/series/star/star106.html#OhH15,2015,,,,
71091,Martin Buss|Sandra Hirche,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_13,,,series/star/HircheB07,2017-05-16,,,191-209,,,,,,Human Perceived Transparency with Time Delay.,db/series/star/star31.html#HircheB07,2007,,,,
71092,Boris Kluge|Matthias Strobel|Thomas Kämpke,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_16,,,series/star/KampkeKS12,2017-05-16,,,215-225,,,,,,Exploiting RFID Capabilities Onboard a Service Robot Platform.,db/series/star/star76.html#KampkeKS12,2012,,,,
71093,Corey Goldfeder|Matei T. Ciocarlie|Peter K. Allen,,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_24,,,series/star/AllenCG14,2017-05-16,,,531-563,,,,,,Grasp Planning Using Low Dimensional Subspaces.,db/series/star/star95.html#AllenCG14,2014,,,,
71094,Annika Raatz|Christoph Budde|Jürgen Hesselbach|Manfred Helm|Philipp Last,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_11,,,series/star/BuddeHLRH11,2017-05-16,,,175-189,,,,,,Configuration Switching for Workspace Enlargement.,db/series/star/star67.html#BuddeHLRH11,2011,,,,
71096,Daniela Bonino|Emiliano Ricciardi|Lorenzo Sani|Pietro Pietrini,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_2,,,series/star/RicciardiBSP08,2019-03-13,,,7-24,,,,,,Functional Exploration Studies of Supramodal Organization in the Human Extrastriate Cortex.,db/series/star/star45.html#RicciardiBSP08,2008,,,,
71097,Abderrahmane Kheddar|Johann Citérin,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_7,,,series/star/CiterinK08,2019-03-13,,,131-154,,,,,,Electro-Active Polymer Actuators for Tactile Displays.,db/series/star/star45.html#CiterinK08,2008,,,,
71098,Adrián Mora|Antonio Barrientos,0000-0003-1691-3907,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_18,,,series/star/MoraB07,2017-06-14,,,289-301,,,,,,Re-configurable Control Scheme for Guiding Telerobotics.,db/series/star/star31.html#MoraB07,2007,,,,
71100,Hasan Esen|Marc O. Ernst|Martin Buss|Michael Fritschi,,The Sense of Touch and its Rendering,,,,,series/star/2008-45,https://doi.org/10.1007/978-3-540-79035-8_9,,,series/star/FritschiEBE08,2019-03-13,,,179-206,,,,,,Multi-modal VR Systems.,db/series/star/star45.html#FritschiEBE08,2008,,,,
71102,Anselmo Frizera-Neto|Arlindo Elias|Camilo Rodriguez|Carlos A. Cifuentes|Ricardo O. Carelli|Teodiano Freire Bastos Filho,0000-0001-9657-5076|0000-0002-0687-3967|0000-0003-0688-7020,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_4,,,series/star/Frizera-NetoECRBC15,2018-11-02,,,103-131,,,,,,Smart Walkers: Advanced Robotic Human Walking-Aid Systems.,db/series/star/star106.html#Frizera-NetoECRBC15,2015,,,,
71103,Alejandro Clemotte|Eduardo Rocon|Eloy Urendes|Miguel A. Velasco|Rafael Raya|Ramón Ceres Ruíz,0000-0001-9618-2176|0000-0001-9634-2256,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_5,,,series/star/RayaRUVCR15,2017-09-16,,,133-156,,,,,,Assistive Robots for Physical and Cognitive Rehabilitation in Cerebral Palsy.,db/series/star/star106.html#RayaRUVCR15,2015,,,,
71104,Annika Raatz|Franz Dietrich|Jochen Maaß|Jürgen Hesselbach,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_18,,,series/star/DietrichMRH11,2017-05-16,,,315-331,,,,,,RCA562: Control Architecture for Parallel Kinematic Robots.,db/series/star/star67.html#DietrichMRH11,2011,,,,
71105,Francisco Jesús Domínguez-Fernández|Javier Serón-Barba|Jesús Manuel Gómez de Gabriel|Víctor Fernando Muñoz-Martinez,0000-0001-5960-3453|0000-0002-2467-3862,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_24,,,series/star/GabrielMDS07,2018-11-02,,,403-414,,,,,,Technologies for a Telesurgery Laboratory Implementation.,db/series/star/star31.html#GabrielMDS07,2007,,,,
