69787,Adrian Perrig|Arvind Seshadri|Leendert van Doom|Mark Luk|Pradeep K. Khosla,,Malware Detection,,,,,series/ais/27,https://doi.org/10.1007/978-0-387-44599-1_12,,,series/ais/SeshadriLPDK07,2017-05-16,,,253-289,,,,,,Pioneer: Verifying Code Integrity and Enforcing Untampered Code Execution on Legacy Systems.,db/series/ais/ais27.html#SeshadriLPDK07,2007,,,
69788,Angelos D. Keromytis|Michalis Polychronakis|Vasilis Pappas,,Moving Target Defense,,,,,series/ais/100,https://doi.org/10.1007/978-1-4614-5416-8_9,,,series/ais/PappasPK13,2017-05-16,,,175-202,,,,,,Practical Software Diversification Using In-Place Code Randomization.,db/series/ais/ais100.html#PappasPK13,2013,,,
69789,Brad Arkin,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_2,,,series/ais/Arkin01,2017-05-16,,,17-28,,,,,,Software Security Analysis: an Example Case Study.,db/series/ais/ais2.html#Arkin01,2001,,,
69790,B. Aditya Prakash,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_14,,,series/ais/Prakash15,2017-05-16,,,287-306,,,,,,Graph Mining for Cyber Security.,db/series/ais/ais56.html#Prakash15,2015,,,
69791,Alfred O. Hero III|Jose A. Costa|Neal Patwari,,Secure Localization and Time Synchronization for Wireless Sensor and Ad Hoc Networks,,,,,series/ais/30,https://doi.org/10.1007/978-0-387-46276-9_3,,,series/ais/PatwariHC07,2017-05-16,,,57-81,,,,,,Learning Sensor Location from Signal Strength and Connectivity.,db/series/ais/ais30.html#PatwariHC07,2007,,,
69792,Roy G. Saltman,,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_8,,,series/ais/Saltman03,2017-05-16,,,125-137,,,,,,Public Confidence and Auditability in Voting Systems.,db/series/ais/ais7.html#Saltman03,2003,,,
69793,Pierangela Samarati|Sabrina De Capitani di Vimercati|Sara Foresti|Sushil Jajodia,,Secure Data Management in Decentralized Systems,,,,,series/ais/33,https://doi.org/10.1007/978-0-387-27696-0_2,,,series/ais/VimercatiFJS07,2017-05-16,,,21-58,,,,,,Access Control Policies and Languages in Open Environments.,db/series/ais/ais33.html#VimercatiFJS07,2007,,,
69795,Pierangela Samarati|Sabrina De Capitani di Vimercati|Sara Foresti|Valentina Ciriani,,Secure Data Management in Decentralized Systems,,,,,series/ais/33,https://doi.org/10.1007/978-0-387-27696-0_9,,,series/ais/CirianiVFS07,2017-05-16,,,291-321,,,,,,Microdata Protection.,db/series/ais/ais33.html#CirianiVFS07,2007,,,
69797,Sanjay Goel|Yuan Hong,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_1,,,series/ais/GoelH15,2017-05-16,,,1-13,,,,,,Cyber War Games: Strategic Jostling Among Traditional Adversaries.,db/series/ais/ais56.html#GoelH15,2015,,,
69798,Huseyin Cavusoglu,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_6,,,series/ais/Cavusoglu04,2017-05-16,,,71-83,,,,,,Economics of IT Security Management.,db/series/ais/ais12.html#Cavusoglu04,2004,,,
69799,Richard E. Harang,,Cyber Defense and Situational Awareness,,,,,series/ais/62,https://doi.org/10.1007/978-3-319-11391-3_10,,,series/ais/Harang14a,2017-05-16,,,201-217,,,,,,Learning and Semantics.,db/series/ais/ais62.html#Harang14a,2014,,,
69800,Andy Ozment,,Quality of Protection,,,,,series/ais/23,https://doi.org/10.1007/978-0-387-36584-8_3,,,series/ais/Ozment06,2017-05-16,,,25-36,,,,,,Software Security Growth Modeling: Examining Vulnerabilities with Reliability Growth Models.,db/series/ais/ais23.html#Ozment06,2006,,,
69801,Lawrence A. Gordon|Martin P. Loeb,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_9,,,series/ais/GordonL04,2017-05-16,,,105-125,,,,,,The Economics of Information Security Investment.,db/series/ais/ais12.html#GordonL04,2004,,,
69803,David Molnar|Rachel Greenstadt|Tony Vila,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_11,,,series/ais/VilaGM04,2017-05-16,,,143-153,,,,,,Why We Can't Be Bothered to Read Privacy Policies - Models of Privacy Economics as a Lemons Market.,db/series/ais/ais12.html#VilaGM04,2004,,,
69805,Erik S. Connors|Mica R. Endsley,,Cyber Defense and Situational Awareness,,,,,series/ais/62,https://doi.org/10.1007/978-3-319-11391-3_2,,,series/ais/EndsleyC14,2017-05-16,,,7-27,,,,,,Foundation and Challenges.,db/series/ais/ais62.html#EndsleyC14,2014,,,
69806,Gabriel Jakobson,,Cyber Defense and Situational Awareness,,,,,series/ais/62,https://doi.org/10.1007/978-3-319-11391-3_14,,,series/ais/Jakobson14,2017-05-16,,,297-322,,,,,,Mission Resilience.,db/series/ais/ais62.html#Jakobson14,2014,,,
69807,Anup K. Ghosh,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_3,,,series/ais/Ghosh01,2017-05-16,,,29-46,,,,,,New Security Issues in Mobile E-Commerce.,db/series/ais/ais2.html#Ghosh01,2001,,,
69808,Bruce McCormick,,Network Science and Cybersecurity,,,,,series/ais/55,https://doi.org/10.1007/978-1-4614-7597-2_4,,,series/ais/McCormick14,2017-05-16,,,63-73,,,,,,Applying Cognitive Memory to CyberSecurity.,db/series/ais/ais55.html#McCormick14,2014,,,
69809,Geoffrey Moores|Gerardo I. Simari|Paulo Shakarian|Simon Parsons,0000-0003-3185-4992,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_8,,,series/ais/ShakarianSMP15,2017-06-14,,,151-171,,,,,,Cyber Attribution: An Argumentation-Based Approach.,db/series/ais/ais56.html#ShakarianSMP15,2015,,,
69810,Steven Noel|Sushil Jajodia,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_7,,,series/ais/JajodiaN10,2017-05-16,,,139-154,,,,,,Topological Vulnerability Analysis.,db/series/ais/ais46.html#JajodiaN10,2010,,,
69812,Alexander H. Levis|Bahram Yousefi|Robert J. Elder,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_2,,,series/ais/ElderLY15,2017-05-16,,,15-35,,,,,,Alternatives to Cyber Warfare: Deterrence and Assurance.,db/series/ais/ais56.html#ElderLY15,2015,,,
69813,Barry O'Sullivan|Garret Swart|John Herbert|Simon N. Foley|Stefano Bistarelli,0000-0001-7411-9678,Quality of Protection,,,,,series/ais/23,https://doi.org/10.1007/978-0-387-36584-8_8,,,series/ais/FoleyBOHS06,2017-06-09,,,93-105,,,,,,Multilevel Security and Quality of Protection.,db/series/ais/ais23.html#FoleyBOHS06,2006,,,
69814,Hikaru Kishimoto|Naoto Yanai|Shingo Okamura,,Smart Micro-Grid Systems Security and Privacy,,,,,series/ais/71,https://doi.org/10.1007/978-3-319-91427-5_3,,,series/ais/KishimotoYO18,2018-08-29,,,29-52,,,,,,An Anonymous Authentication Protocol for the Smart Grid.,db/series/ais/ais71.html#KishimotoYO18,2018,,,
69815,Antonio S. Oblea|Kristy A. Campbell|Robinson E. Pino,,Cybersecurity Systems for Human Cognition Augmentation,,,,,series/ais/61,https://doi.org/10.1007/978-3-319-10374-7_11,,,series/ais/PinoOC14,2017-05-16,,,169-174,,,,,,Memristor SPICE Model Simulation and Device Hardware Correlation.,db/series/ais/ais61.html#PinoOC14,2014,,,
69816,Marc D. Goodman,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_4,,,series/ais/Goodman01,2017-05-16,,,47-63,,,,,,Problems in Policing E-Commerce Crime.,db/series/ais/ais2.html#Goodman01,2001,,,
69817,Balakrishna R. Iyer|Bijit Hore|Hakan Hacigümüs|Sharad Mehrotra,,Secure Data Management in Decentralized Systems,,,,,series/ais/33,https://doi.org/10.1007/978-0-387-27696-0_12,,,series/ais/HacigumusHIM07,2017-05-16,,,383-425,,,,,,Search on Encrypted Data.,db/series/ais/ais33.html#HacigumusHIM07,2007,,,
69818,Angelos D. Keromytis,,Insider Attack and Cyber Security,,,,,series/ais/39,https://doi.org/10.1007/978-0-387-77322-3_12,,,series/ais/Keromytis08,2017-05-16,,,215-218,,,,,,Hard Problems and Research Challenges.,db/series/ais/ais39.html#Keromytis08,2008,,,
69819,George A. Beitel|Mark A. Flynn|Miles A. McQueen|Wayne F. Boyer,,Quality of Protection,,,,,series/ais/23,https://doi.org/10.1007/978-0-387-36584-8_5,,,series/ais/McQueenBFB06,2017-05-16,,,49-64,,,,,,Time-to-Compromise Model for Cyber Risk Reduction Estimation.,db/series/ais/ais23.html#McQueenBFB06,2006,,,
69820,Lizzie Coles-Kemp|Marianthi Theoharidou,0000-0002-8870-1746,Insider Threats in Cyber Security,,,,,series/ais/49,https://doi.org/10.1007/978-1-4419-7133-3_3,,,series/ais/Coles-KempT10,2017-06-14,,,45-71,,,,,,Insider Threat and Information Security Management.,db/series/ais/ais49.html#Coles-KempT10,2010,,,
69821,Catherine Wolfram|L. Jean Camp,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_2,,,series/ais/CampW04,2017-05-16,,,17-34,,,,,,Pricing Security - A Market in Vulnerabilities.,db/series/ais/ais12.html#CampW04,2004,,,
69823,Jason H. Li|Siva Raj Rajagopalan|Xinming Ou,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_4,,,series/ais/LiOR10,2017-05-16,,,51-68,,,,,,Uncertainty and Risk Management in Cyber Situational Awareness.,db/series/ais/ais46.html#LiOR10,2010,,,
69824,Andrea S. Atzeni|Antonio Lioy,,Quality of Protection,,,,,series/ais/23,https://doi.org/10.1007/978-0-387-36584-8_1,,,series/ais/AtzeniL06,2017-05-16,,,1-12,,,,,,Why to adopt a security metric? A brief survey.,db/series/ais/ais23.html#AtzeniL06,2006,,,
69825,Andrew J. Lohn|Erik P. DeBenedictis|James B. Aimone|Matthew J. Marinella|Patrick R. Mickel,0000-0002-7361-253X,Cybersecurity Systems for Human Cognition Augmentation,,,,,series/ais/61,https://doi.org/10.1007/978-3-319-10374-7_9|https://www.wikidata.org/entity/Q58444449,,,series/ais/LohnMADM14,2018-11-24,,,135-150,,,,,,Memristors as Synapses in Artificial Neural Networks: Biomimicry Beyond Weight Change.,db/series/ais/ais61.html#LohnMADM14,2014,,,
69826,Anup Goyal|Yan Chen 0004|Zhichun Li,,Botnet Detection,,,,,series/ais/36,https://doi.org/10.1007/978-0-387-68768-1_2,,,series/ais/LiGC08,2017-10-20,,,25-44,,,,,,Honeynet-based Botnet Scan Traffic Analysis.,db/series/ais/ais36.html#LiGC08,2008,,,
69827,Ana Piñuela|Antonio Maña|Beatriz Gallego-Nicasio Crespo|Daniel Serrano|Pedro Soria-Rodriguez,0000-0001-5291-6174,Security and Dependability for Ambient Intelligence,,,,,series/ais/45,https://doi.org/10.1007/978-0-387-88775-3_12,,,series/ais/CrespoPSSM09a,2017-06-09,,,199-212,,,,,,Pattern Driven Selection and Configuration of S&D Mechanisms at Runtime.,db/series/ais/ais45.html#CrespoPSSM09a,2009,,,
69828,Ke Wang 0009|Salvatore J. Stolfo|Wei-Jen Li,,Malware Detection,,,,,series/ais/27,https://doi.org/10.1007/978-0-387-44599-1_11,,,series/ais/StolfoWL07,2017-08-24,,,231-249,,,,,,Towards Stealthy Malware Detection.,db/series/ais/ais27.html#StolfoWL07,2007,,,
69829,Ciara Sibley|Joseph T. Coyne|Julie L. Marble|Myriam Abramson|Ranjeev Mittu|William F. Lawless,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_9,,,series/ais/MarbleLMCAS15,2017-05-16,,,173-206,,,,,,The Human Factor in Cybersecurity: Robust & Intelligent Defense.,db/series/ais/ais56.html#MarbleLMCAS15,2015,,,
69830,Anup Goyal|Paul Barford|Vern Paxson|Vinod Yegneswaran|Yan Chen 0004|Zhichun Li,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_5,,,series/ais/BarfordCGLPY10,2017-10-20,,,71-102,,,,,,Employing Honeynets For Network Situational Awareness.,db/series/ais/ais46.html#BarfordCGLPY10,2010,,,
69831,Chongkyung Kil|Emre Can Sezer|Peng Ning,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_10|https://www.wikidata.org/entity/Q57441259,,,series/ais/SezerKN10,2018-11-14,,,201-223,,,,,,Automated Software Vulnerability Analysis.,db/series/ais/ais46.html#SezerKN10,2010,,,
69832,George Magklaras|Steven Furnell,0000-0003-0984-7542,Insider Threats in Cyber Security,,,,,series/ais/49,https://doi.org/10.1007/978-1-4419-7133-3_10,,,series/ais/MagklarasF10,2017-06-14,,,219-244,,,,,,Insider Threat Specification as a Threat Mitigation Technique.,db/series/ais/ais49.html#MagklarasF10,2010,,,
69833,Lei Fang|Peng Ning|Wenliang Du,,Secure Localization and Time Synchronization for Wireless Sensor and Ad Hoc Networks,,,,,series/ais/30,https://doi.org/10.1007/978-0-387-46276-9_2,,,series/ais/FangDN07,2017-05-16,,,33-55,,,,,,A Beacon-Less Location Discovery Scheme for Wireless Sensor Networks.,db/series/ais/ais30.html#FangDN07,2007,,,
69834,Ed Gerck,,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_11,,,series/ais/Gerck03,2017-05-16,,,165-179,,,,,,Private, Secure and Auditable Internet Voting.,db/series/ais/ais7.html#Gerck03,,,
69835,Cleotilde Gonzalez,,Moving Target Defense,,,,,series/ais/100,https://doi.org/10.1007/978-1-4614-5416-8_4,,,series/ais/Gonzalez13,2017-05-16,,,73-86,,,,,,From Individual Decisions from Experience to Behavioral Game Theory: Lessons for Cybersecurity.,db/series/ais/ais100.html#Gonzalez13,2013,,,
69836,David Larochelle|Nicholas Rosasco,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_18,,,series/ais/RosascoL04,2017-05-16,,,247-254,,,,,,How and Why More Secure Technologies Succeed in Legacy Markets - Lessons from the Success of SSH.,db/series/ais/ais12.html#RosascoL04,2004,,,
69837,Divesh Srivastava|Laks V. S. Lakshmanan|Sihem Amer-Yahia|SungRan Cho|Wendy Hui Wang,,Secure Data Management in Decentralized Systems,,,,,series/ais/33,https://doi.org/10.1007/978-0-387-27696-0_5,,,series/ais/WangSLCA07,2017-05-16,,,127-165,,,,,,Optimizing Tree Pattern Queries over Secure XML Databases.,db/series/ais/ais33.html#WangSLCA07,2007,,,
69838,Andrew P. Moore|Dawn M. Cappelli|Randall F. Trzeciak,,Insider Attack and Cyber Security,,,,,series/ais/39,https://doi.org/10.1007/978-0-387-77322-3_3,,,series/ais/MooreCT08,2017-05-16,,,17-52,,,,,,"The ""Big Picture"" of Insider IT Sabotage Across U.S. Critical Infrastructures.",db/series/ais/ais39.html#MooreCT08,2008,,,
69839,Adam J. Lee|Kent E. Seamons|Marianne Winslett|Ting Yu,,Secure Data Management in Decentralized Systems,,,,,series/ais/33,https://doi.org/10.1007/978-0-387-27696-0_7,,,series/ais/LeeSWY07,2017-05-16,,,217-258,,,,,,Automated Trust Negotiation in Open Systems.,db/series/ais/ais33.html#LeeSWY07,2007,,,
69840,Kevin S. Killourhy|Roy A. Maxion,,Insider Attack and Cyber Security,,,,,series/ais/39,https://doi.org/10.1007/978-0-387-77322-3_6,,,series/ais/KillourhyM08,2017-05-16,,,91-112,,,,,,Naive Bayes as a Masquerade Detector: Addressing a Chronic Failure.,db/series/ais/ais39.html#KillourhyM08,2008,,,
69841,Samuel N. Hamilton,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_7,,,series/ais/Hamilton15,2017-05-16,,,141-149,,,,,,Automated Adversary Profiling.,db/series/ais/ais56.html#Hamilton15,2015,,,
69842,Eric Alata|Fabien Pouget|K. Kortchinsky|M. Kaaâniche|Marc Dacier|Van-Hau Pham|Vincent Nicomette|Yves Deswarte,,Quality of Protection,,,,,series/ais/23,https://doi.org/10.1007/978-0-387-36584-8_7,,,series/ais/AlataDDKKNPP06,2017-05-16,,,79-91,,,,,,Collection and analysis of attack data based on honeypots deployed on the Internet.,db/series/ais/ais23.html#AlataDDKKNPP06,2006,,,
69843,Aggelos Kiayias|Moti Yung,,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_9,,,series/ais/KiayiasY03,2017-05-16,,,139-151,,,,,,Robust Verifiable non-Interactive Zero-Sharing - A Plug-in Utility for Enhanced Voters' Privacy.,db/series/ais/ais7.html#KiayiasY03,2003,,,
69844,Anoop Singhal|Jason H. Li|Julia Deng|Scott A. DeLoach|Xinming Ou|Yi Cheng,,Cyber Defense and Situational Awareness,,,,,series/ais/62,https://doi.org/10.1007/978-3-319-11391-3_13,,,series/ais/ChengDLDSO14,2017-05-16,,,263-295,,,,,,Metrics of Security.,db/series/ais/ais62.html#ChengDLDSO14,2014,,,
69845,Bruce Schneier,,Economics of Information Security,,,,,series/ais/12,https://doi.org/10.1007/1-4020-8090-5_20,,,series/ais/Schneier04,2017-05-16,,,289-293,,,,,,Evaluating Security Systems: A Five-Step Process.,db/series/ais/ais12.html#Schneier04,2004,,,
69847,Anesu M. C. Marufu|Anne V. D. M. Kayem|Stephen D. Wolthusen,,Smart Micro-Grid Systems Security and Privacy,,,,,series/ais/71,https://doi.org/10.1007/978-3-319-91427-5_6,,,series/ais/MarufuKW18,2018-08-29,,,103-144,,,,,,The Design and Classification of Cheating Attacks on Power Marketing Schemes in Resource Constrained Smart Micro-Grids.,db/series/ais/ais71.html#MarufuKW18,2018,,,
69848,Bryant T. Wysocki|Clare Thiem|Garrett S. Rose|Mario Gomez II|Nathan R. McDonald,0000-0003-3070-4087,Network Science and Cybersecurity,,,,,series/ais/55,https://doi.org/10.1007/978-1-4614-7597-2_9|https://www.wikidata.org/entity/Q56931601,,,series/ais/WysockiMTRG14,2018-11-14,,,137-153,,,,,,Hardware-Based Computational Intelligence for Size, Weight, and Power Constrained Environments.,,,
69849,Costas Lambrinoudakis|Dimitris Gritzalis|Maria Karyda|Spyros Ikonomopoulos|Vassilis Tsoumas,,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_7,,,series/ais/LambrinoudakisGTKI03,2017-05-16,,,101-122,,,,,,Secure Electronic Voting: the Current Landscape.,db/series/ais/ais7.html#LambrinoudakisGTKI03,2003,,,
69850,Krishna Kant,,Moving Target Defense,,,,,series/ais/54,https://doi.org/10.1007/978-1-4614-0977-9_10,,,series/ais/Kant11,2017-05-16,,,161-181,,,,,,Configuration Management Security in Data Center Environments.,db/series/ais/ais54.html#Kant11,2011,,,
69852,Alessandro Orso|William G. J. Halfond,,Malware Detection,,,,,series/ais/27,https://doi.org/10.1007/978-0-387-44599-1_5,,,series/ais/HalfondO07,2017-05-16,,,85-109,,,,,,Detection and Prevention of SQL Injection Attacks.,db/series/ais/ais27.html#HalfondO07,2007,,,
69853,Antonio Maña|George Spanoudakis|Spyros Kokolakis,0000-0001-5291-6174,Security and Dependability for Ambient Intelligence,,,,,series/ais/45,https://doi.org/10.1007/978-0-387-88775-3_21,,,series/ais/ManaSK09a,2017-06-09,,,379-383,,,,,,Future Directions.,db/series/ais/ais45.html#ManaSK09a,2009,,,
69854,Andrew Ruef|Chris Rohlf,,Cyber Warfare,,,,,series/ais/56,https://doi.org/10.1007/978-3-319-14039-1_15,,,series/ais/RuefR15,2017-05-16,,,307-321,,,,,,Programming Language Theoretic Security in the Real World: A Mirage or the Future?,db/series/ais/ais56.html#RuefR15,2015,,,
69855,David Chaum,,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_14,,,series/ais/Chaum03,2017-05-16,,,211-219,,,,,,Untraceable Electronic Mail, Return Addresses and Digital Pseudonyms.,db/series/ais/ais7.html#Chaum03,,,
69856,Annie I. Antón|Julia Brande Earp,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_5,,,series/ais/AntonE01,2017-05-16,,,67-86,,,,,,Strategies for Developing Policies and Requirements for Secure and Private Electronic Commerce.,db/series/ais/ais2.html#AntonE01,2001,,,
69857,Hiroshi Yamane|Kanta Matsuura|Kaoru Sezaki|Leping Huang,,Secure Localization and Time Synchronization for Wireless Sensor and Ad Hoc Networks,,,,,series/ais/30,https://doi.org/10.1007/978-0-387-46276-9_13,,,series/ais/HuangYMS07,2017-05-16,,,299-322,,,,,,Location Privacy in Wireless LAN.,db/series/ais/ais30.html#HuangYMS07,2007,,,
69858,Mikhail J. Atallah|Wenliang Du,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_6,,,series/ais/DuA01,2017-05-16,,,87-111,,,,,,Protocols for Secure Remote Database Access with Approximate Matching.,db/series/ais/ais2.html#DuA01,2001,,,
69859,Ramesh Karri|Xueyang Wang,,Network Science and Cybersecurity,,,,,series/ais/55,https://doi.org/10.1007/978-1-4614-7597-2_11,,,series/ais/WangK14,2017-05-16,,,177-187,,,,,,Detecting Kernel Control-Flow Modifying Rootkits.,db/series/ais/ais55.html#WangK14,2014,,,
69862,Kang Li 0004|Kent W. Nixon|Yiran Chen|Zhi-Hong Mao,0000-0002-8136-9816,Network Science and Cybersecurity,,,,,series/ais/55,https://doi.org/10.1007/978-1-4614-7597-2_8,,,series/ais/NixonCML14,2018-11-15,,,125-135,,,,,,User Classification and Authentication for Mobile Device Based on Gesture Recognition.,db/series/ais/ais55.html#NixonCML14,2014,,,
69863,Antonio Muñoz|Carsten Rudolph|Jürgen Repp|Luca Compagna|Roberto Carbone,,Security and Dependability for Ambient Intelligence,,,,,series/ais/45,https://doi.org/10.1007/978-0-387-88775-3_9,,,series/ais/RudolphCCMR09,2017-05-16,,,143-163,,,,,,Verification of S&D Solutions for Network Communications and Devices.,db/series/ais/ais45.html#RudolphCCMR09,2009,,,
69864,René Peralta,0000-0002-2318-7563,Secure Electronic Voting,,,,,series/ais/7,https://doi.org/10.1007/978-1-4615-0239-5_10,,,series/ais/Peralta03,2017-09-16,,,153-164,,,,,,Issues, Non-Issues, and Cryptographic Tools for Internet-Based Voting.,,,
69865,Carlo Riccucci|Domenico Presenza|Valentina Di Giacomo,,Security and Dependability for Ambient Intelligence,,,,,series/ais/45,https://doi.org/10.1007/978-0-387-88775-3_15,,,series/ais/GiacomoPR09,2017-05-16,,,275-290,,,,,,Organisational Pattern Driven Recovery Mechanisms.,db/series/ais/ais45.html#GiacomoPR09,2009,,,
69866,George P. Tadda|John S. Salerno,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_2,,,series/ais/TaddaS10,2017-05-16,,,15-35,,,,,,Overview of Cyber Situation Awareness.,db/series/ais/ais46.html#TaddaS10,2010,,,
69867,Michiharu Kudo|Sushil Jajodia|V. S. Subrahmanian,,E-Commerce Security and Privacy,,,,,series/ais/2,https://doi.org/10.1007/978-1-4615-1467-1_8,,,series/ais/JajodiaKS01,2017-05-16,,,133-159,,,,,,Provisional Authorizations.,db/series/ais/ais2.html#JajodiaKS01,2001,,,
69868,Jonathon T. Giffin|Matt Fredrikson|Mihai Christodorescu|Somesh Jha,,Cyber Situational Awareness,,,,,series/ais/46,https://doi.org/10.1007/978-1-4419-0140-8_9,,,series/ais/FredriksonCGJ10,2017-05-16,,,179-200,,,,,,A Declarative Framework for Intrusion Analysis.,db/series/ais/ais46.html#FredriksonCGJ10,2010,,,
69869,Christos Kloukinas|George Spanoudakis|Khaled Mahbub,0000-0003-0424-7425,Security and Dependability for Ambient Intelligence,,,,,series/ais/45,https://doi.org/10.1007/978-0-387-88775-3_13,,,series/ais/SpanoudakisKM09,2018-11-02,,,213-237,,,,,,The SERENITY Runtime Monitoring Framework.,db/series/ais/ais45.html#SpanoudakisKM09,2009,,,
69870,Jonathan Williams|Misty K. Blowers,,Network Science and Cybersecurity,,,,,series/ais/55,https://doi.org/10.1007/978-1-4614-7597-2_10,,,series/ais/BlowersW14,2017-05-16,,,155-175,,,,,,Machine Learning Applied to Cyber Operations.,db/series/ais/ais55.html#BlowersW14,2014,,,
